Sandøya	262
Sandve	353
Sandvika	216
Sandvoll	269
Sånum	631
Sarpsborg	48831
Såstadbråten	428
Sauda	4109
Segalstad bru	1046
Seimsdalen	409
Seimsfoss	334
Sekkingstad	684
Selbekken	426
Selje	695
Seljord	1415
Selvik	3374
Sem	2706
Senjehopen	268
Sessvollmoen	1283
Setermoen	2523
Sigerfjord	815
Siggerud	1493
Siljan	824
Silsand	1608
Silvalen	855
Sira	598
Sirevåg	711
Sistranda	1162
Sjøholt	1547
Sjøvegan	741
Skage	820
Skålevik	3598
Skånevik	547
Skarde	323
Skarnes	2626
Skarpengland	587
Skatval	959
Skei	495
Skei-Surnadalsøra	2809
Skeie	237
Ski	20836
Skibotn	538
Skien	50142
Skiptvet	1829
Skivika	1075
Skjærhalden	936
Skjeberg	1522
Skjeggestadåsen	214
Skjervøy	2426
Skjold	251
Skjold	930
Skjønhaug	2094
Skodje	2491
Skoge/Møvik	915
Skogmo	280
Skogn	1960
Skogrand	329
Skogsvågen	557
Skomrak	279
Skoppum	1682
Skotbu	462
Skotselv	729
Skotterud	1366
Skre	1651
Skreia	900
Skudeneshavn	3326
Skulestadmoen	1430
Skytterhusfjellet	287
Slåttevik	297
Slemsrud	534
Sletta	292
Slettebrotane	442
Slevik	1166
Slidre	322
Slitu	778
Småland	272
Smestad	2721
Snåsa	660
Sneltvedt	252
Snurråsen	259
Søfteland	2087
Sogndalsfjøra	4265
Søgne	10661
Sokna	616
Soknedal	282
Sola	22522
Solbakken-Sofienberg	218
Solerød	546
Solfjellsjyen	266
Solsletta	749
Sommarøy	304
Sørbygdafeltet	422
Søre Øyane	1077
Sørkjosen	817
Sørland	583
Sørreisa	1245
Sortland	5490
Sørumsand	5596
Sørvågen	399
Søvik	1604
Søvik	986
Sparbu	606
Spillum	1331
Spongdal	530
Sponvika	538
Spydeberg	6419
Stamsund	1103
Stange	3263
Stanghelle	761
Stavanger	134298
Stavern	5902
Stavsjø	262
Steinkjer	12887
Steinsåsen	2045
Steinshamn	424
Steinvåg	429
Stenebyen	1004
Stikkaåsen	209
Stjørdalshalsen	13378
Stokke	4221
Stokmarknes	3451
Storås	292
Storbakken	642
Stordal	583
Storebø	1658
Støren	2306
Storforshei	601
Storsand	471
Storslett	1798
Storsteinnes	1100
Strand	770
Stranda	2898
Straume	326
Straumen	1764
Straumen	838
Straumgjerde	442
Strømsnes	479
Stryn	2646
Sulitjelma	386
Sundbyfoss	568
Sunde/Valen	2307
Sundgot	884
Sundvollen	1171
Sunndalsøra	3907
Svalia	279
Svarstad	611
Sveggen	297
Sveio	1523
Svelgen	1097
Svelvik	4089
Svene	373
Svenevik	333
Svennevik	370
Sviland	750
Svinndal	582
Svolvær	4751
Svøo	606
Svorkmo	302
Svortland	3011
Sykkylven	4314
Sylling	747
Sylte	327
Sysle	246
Talvik	290
Tana Bru	725
Tanem	1295
Tangen	517
Tau	3389
Teigebyen	3280
Telavåg	602
Tennevoll	279
Terråk	520
Tingnes	426
Tingvollvågen	939
Tinn austbygd	393
Tjøme	2882
Toft	219
Tofte	3064
Tolga	577
Tomb	284
Tomra	1086
Tomter	2112
Tomteråsen	727
Tønsberg	54580
Tonstad	871
Torget	765
Torhaug	251
Tornes	547
Torpo	375
Torsteinsvik	1788
Torvik	408
Torvika	236
Torvikbukt	246
Tranby	5296
Tretten	870
Trøa	231
Trofors	838
Trolla	559
Trømborg	242
Tromsdalen	18063
Tromsø	41434
Trondheim	194860
Trones	398
Tvedestrand	2633
Tveit	1610
Tveitsund	540
Tverrelvdalen	460
Tveteneåsen	850
Tynset	2859
Tyristrand	934
Tyssedal	596
Uggdalseidet	288
Ulefoss	2302
Ulsteinvik	5936
Ulvik	514
Undheim	565
Uskedal	756
Utgård	324
Uthaug	352
Vadfoss/Helle	1516
Vadsø	4615
Vågåmo	1496
Våge	839
Våk	944
Vaksdal	955
Våler	1138
Valestrandsfossen	1374
Valle	677
Vang	2312
Vangsåsen	258
Vangsvik	273
Vanse	2016
Vanvikan	724
Vardø	1690
Varhaug	3340
Vassenden	319
Vassøy	622
Vatne	2457
Vatne	920
Vear	3727
Veggli	362
Velde	470
Vennesla	13617
Verdalsøra	8535
Verningen	1003
Vestby	6434
Vestby	8199
Vestbygda	1138
Vestfossen	3246
Vestnes	2471
Vestre Jakobselv	486
Vigeland	1597
Viggja	356
Vigrestad	2094
Vik	330
Vikavågen	643
Vikebø	338
Vikebukt	236
Vikedal	486
Vikersund	3171
Vikeså	1003
Vikevåg	973
Vikøy	378
Vikøyri	1190
Vingnes	1509
Vingrom	757
Vinstra	2648
Volda	6891
Voll	502
Volleberg	550
Vollen	666
Vormsund	428
Vossevangen	6851
Vuku	223
Ydstebøhamn	365
Yli	291
Ytre Enebakk	4528
